Material	Descripción del material
20013443	CAMISA:OXFORD;ML;BLANCA;CMI;TALLA;XL
20013444	CAMISA:COLUMBIA;ML;BLCO;CAMPERO;TALLA;M
20013445	CAMISA:COLUMBIA;ML;BLCO;CAMPERO;TALLA;L
20013446	CAMISA:COLUMBIA;ML;BLCO;CAMPERO;TALLA;XL
20013463	CAMISA:HOMBRE;POLO;OKEY;JICK;NEGRA;PG;XS
20013464	CAMISA:HOMBRE;POLO;OKEY;JICK;NEGRA;PG;S
20013465	CAMISA:HOMBRE;POLO;OKEY;JICK;NEGRA;PG;M
20013466	CAMISA:HOMBRE;POLO;OKEY;JICK;NEGRA;PG;L
20013467	CAMISA:HOMBRE;POLO;OKEY;JICK;NEGRA;PG;XL
20013468	CAMISA:MUJER;POLO;OKEY;JICK;NEGRA;PG;M
20013469	CAMISA:MUJER;POLO;OKEY;JICK;NEGRA;PG;XL
20013507	PROTECTOR:DEDOS;4CM/1.6INX2CM/0.8IN;INOX
20013534	LENTES DE PROTECCION POLLO PICANTE
20013536	MANGAS;PARA;PROTECCIÓN;DE;SOL
20014039	BLUSA:VENATA;M/L ;2;LOGOS;XS
20014049	CAMISA:BLANCA;SUBLIMAR;3;IMPRESIONES;M
20014055	RODILLERA:PROTECTORA;CLC;V230
20014056	PROTECTOR:DE;OIDOS;OREJERA;28DB;KED319D
20014057	GUANTE:DE;CUERO;LONA;MANGA;CORTA;GRIS-NA
20014062	CAMISA:COLUMBIA;M/C;C/REFLECT;LOGO;CMI;M
20014063	CAMISA:COLUMBIA;M/L;C/REFLECT;LOGO;CMI;M
20014064	CAMISA:COLUMBIA;M/L;C/REFLEC;DOS;LOGOS;M
20014065	BLUSA:COLUMBIA;M/C;C/REFLECT;LOGO;CMI;M
20014066	BLUSA:COLUMBIA;M/L;C/REFLECT;LOGO;CMI;M
20014067	BLUSA:COLUMBIA;M/L;C/REFLECT;DOS;LOGOS;M
20014069	ARNES:SEGURIDAD;4;PUNTOS;CLIMAX;TROPICO
20014070	CONO:P/TRAFICO;45CM;CON;CINTA;REFLECTIVA
20014086	CAMISA:COLUMBIA;MANGA;CORTA;1;LOGO;CMI;M
20014891	CHALECO;TASH;VERDE;1SUBLIM;PC;UNICA
20014892	CAMISA:NEGRA;MANGA;LARGA;PERFORM;CMI;S
20014893	CAMISA:NEGRA;MANGA;LARGA;PERFORM;CMI;M
20014894	CAMISA:NEGRA;MANGA;LARGA;PERFORM;CMI;L
20014895	CAMISA:NEGRA;MANGA;LARGA;PERFORM;CMI;XL
20014913	CAMISA:MANGA;LARGA;1;LOGO;CMI;M
20014934	CASCO:CON;RATCH;NARANJA;KHH331N;OR;HHS32
20014936	CAMISA:COLUMBIA;ORGINAL;M/L;PC/CMIA;S
20014937	CAMISA:COLUMBIA;ORGINAL;M/L;PC/CMIA;M
20014938	CAMISA:COLUMBIA;ORGINAL;M/L;PC/CMIA;L
20014939	CAMISA:COLUMBIA;ORGINAL;M/L;PC/CMIA;XL
20014940	BLUSA:BLANCA:M;LARGA;2;LOGOS;CMI;PG;M
20014945	BOTA:PARA;LLUVIA;SC210;XL
20014946	BOTA:PARA;LLUVIA;SC210;XXL
20014947	TRAJE:LLUVIA;2;PZ;NEGRA;L-REFLECT;RC;XL
20014948	TRAJE:LLUVIA;2;PZ;NEGRA;L-REFLECT;RC;XXL
20014949	KIT:UNIFORME;MEDICO;HOMBRE;L
20014955	OVEROL:REFRIGUIWEAR;1085;S
20014956	OVEROL:REFRIGUIWEAR;1085;M
20014957	OVEROL:REFRIGUIWEAR;1085;L
20014958	OVEROL:REFRIGUIWEAR;1085;XL
20014959	OVEROL:REFRIGUIWEAR;1085;2XL
20014960	KIT:UNIFORME;MEDICO;HOMBRE;M
20014961	KIT:UNIFORME;MEDICO;MUJER;S
20014962	NOTAS:DE;SUSPENSION;PARA;CLINICA;MEDICA
20014967	CAPA COMPLETA REFLECTIVO CAD XL
20014968	CAPA COMPELTA REFLECTIVO CAD XXL
20014969	CASCO:MOTOCICLISTA;XXL
20014974	CAMISA:VENATA;M/C;2;LOGOS;5XL
20014975	CAMISA:VENATA;M/L;2;LOGOS;5XL
20014976	CAMISA:VENATA;M/C;1;LOGO;5XL
20014977	CAMISA:VENATA;M/L;1;LOGO;5XL
20014978	CAMISA:COLUMBIA;M/C;2;LOGOS;5XL
20014979	CAMISA:COLUMBIA;M/L;2;LOGOS;5XL
20014990	CAMISA:COLUMBIA;M/C;1;LOGO;5XL
20014991	CAMISA:COLUMBIA;M/L;1;LOGO;5XL
20014992	BLUSA:VENATA;M/C;2;LOGOS;4XL
20014993	BLUSA:VENATA;M/L;2;LOGOS;4XL
20014994	BLUSA:VENATA;M/C;1;LOGO;XL
20014995	BLUSA:VENATA;M/L;1;LOGO;4XL
20014996	BLUSA:COLUMBIA;M/C;2;LOGOS;4XL
20014997	BLUSA:COLUMBIA;M/L;2;LOGOS;4XL
20014998	BLUSA:COLUMBIA;M/C;1;LOGO;4XL
20014999	BLUSA:COLUMBIA;M/L;1;LOGO;4XL
20015000	CAMISA:COLUMBIA;ORGINAL;M/L;PC/CMIA;2XL
20015001	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;XS
20015002	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;S
20015003	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;M
20015004	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;L
20015005	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;XL
20015006	BLUSA:COLUMBIA;ORGINAL;M/L;PC/CMIA;2XL
20015098	CAMISA:POLO:BLANCO;NEGRO;NARANJA;3LOG;XS
20015099	CAMISA:POLO:BLANCO;NEGRO;NARANJA;3LOG;S
20015100	CAMISA:POLO:BLANCO;NEGRO;NARANJA;3LOG;M
20015101	CAMISA:POLO:BLANCO;NEGRO;NARANJA;3LOG;L
20015102	CAMISA:POLO:BLANCO;NEGRO;NARANJA;3LOG;XL
20015103	CAMISA:POLO:BLANCO;NEGRO;NARANJ;3LOG;2XL
20015104	CAMISA:POLO:BLANCO;NEGRO;NARANJ;3LOG;3XL
20015105	CAMISA:POLO:BLANCO;NEGRO;NARANJ;3LOG;4XL
20015106	CAMISA:POLO:BLANCO;NEGRO;NARANJ;3LOG;5XL
20015107	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;XS
20015108	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;S
20015109	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;M
20015110	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;L
20015111	BLUSA:POLO:BLANCA;NEGRO;NARANJA;3LOG;XL
20015112	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;2XL
20015113	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;3XL
20015114	BLUSA:POLO:BLANCO;NEGRO;NARANJA;3LOG;4XL
20015115	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;XS
20015116	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;S
20015117	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;M
20015118	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;L
20015119	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;XL
20015120	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;2XL
20015121	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;3XL
20015122	BLUSA:MATERNA;POLO;BLC;NEG;NAR;2LOG;4XL
20015126	CAMISA:POLO;BARCELONA;VERDE;S
20015127	CAMISA:POLO;BARCELONA;VERDE;M
20015128	CAMISA:POLO;BARCELONA;VERDE;L
20015129	CAMISA:POLO;BARCELONA;VERDE;XL
20015130	CAMISA:POLO;BARCELONA;VERDE;XXL
20015131	CAMISA:POLO;BARCELONA;BLANCO;S
20015132	CAMISA:POLO;BARCELONA;BLANCO;M
20015133	CAMISA:POLO;BARCELONA;BLANCO;L
20015134	CAMISA:POLO;BARCELONA;BLANCO;XL
20015135	CAMISA:POLO;BARCELONA;BLANCO;XXL
20015136	BLUSA:POLO;BARCELONA;BLANCO;S
20015137	BLUSA:POLO;BARCELONA;BLANCO;M
20015138	BLUSA:POLO;BARCELONA;BLANCO;L
20015139	BLUSA:POLO;BARCELONA;BLANCO;XL
20015140	BLUSA:POLO;BARCELONA;BLANCO;XXL
20015141	BLUSA:POLO;BARCELONA;VERDE;S
20015142	BLUSA:POLO;BARCELONA;VERDE;M
20015143	BLUSA:POLO;BARCELONA;VERDE;L
20015144	BLUSA:POLO;BARCELONA;VERDE;XL
20015145	BLUSA:POLO;BARCELONA;VERDE;XXL
20015146	PLAYERA:ALGODON;BLANCO;S
20015147	PLAYERA:ALGODON;BLANCO;M
20015148	PLAYERA:ALGODON;BLANCO;L
20015149	PLAYERA:ALGODON;BLANCO;XL
20015150	PLAYERA:ALGODON;BLANCO;XXL
20015151	PLAYERA:ALGODÓN;BICOLOR;S
20015152	PLAYERA:ALGODON;BICOLOR;M
20015153	PLAYERA:ALGODON;BICOLOR;L
20015154	PLAYERA:ALGODON;BICOLOR;XL
20015155	PLAYERA:ALGODON;BICOLOR;XXL
20015156	PLAYERA:POLO;GRIS;OSCURO;XS
20015157	PLAYERA:POLO;GRIS;OSCURO;S
20015158	PLAYERA:POLO;GRIS;OSCURO;M
20015159	PLAYERA:POLO;GRIS;OSCURO;L
20015160	PLAYERA:POLO;GRIS;OSCURO;XL
20015161	PLAYERA:POLO;GRIS;OSCURO;2XL
20015162	PLAYERA:POLO;GRIS;OSCURO;3XL
20015166	CAMISA:POLO;DRY;FIT;NEGRA;XXL
20015177	BOTA ANTI ESTATICA CAFE TALLA 40
20015265	GUANTE:NEOPRENO;#9
20015266	CARETA:PROTECCION;VISUAL;FILTRADO;ACEITE
20015351	CAMISA:POLO;1;LOG;M
20015352	CAMISA:CULUMBIA;2;LOGOS;M
20015353	CAMISA:OXFORD;MANGA;3/4;1;LOG;S
20015370	CAMISA:OXFORD;MANGA;CORTA;1;LOG;M
20015371	SUDADERO:CAMARA;FRIA;T.S
20015372	SUDADERO:CAMARA;FRIA;T.M
20015373	SUDADERO:CAMARA;FRIA;T.L
20015383	CAMISA:VENATA;MANGA;CORTA;2;LOG;3XL
20015384	CAMISA:VENATA;MAMGA;LARGA;2;LOG;3XL
20015385	CAMISA:VENATA;MANGA;CORTA;1;LOG;3XL
20015386	CAMISA:VENATA;MANGA;LARGA;1;LOG;3XL
20015387	CAMISA:COLUMBIA;MANGA;CORTA;2;LOG;3XL
20015388	CAMISA:COLUMBIA;MANGA;LARGA;2;LOG;3XL
20015389	CAMISA:COLUMBIA;MANGA;CORTA;1;LOG;3XL
20015390	CAMISA:VENETA;MANGA;LARGA;XS
20015400	CAMISA:MANGA:CORTA;MERCH;M
20015410	CAMISA:COLUMBIA;MANGA;LARGA;1;LOG;3XL
20015411	BLUSA:VENATA;MANGA;CORTA;2;LOG;3XL
20015412	BLUSA:VENATA;MANGA;LARGA;2;LOG;3XL
20015413	BLUSA:VENATA;MANGA;CORTA;1;LOG;3XL
20015414	BLUSA:VENATA;MANGA;LARGA;1;LOG;3XL
20015415	BLUSA:COLUMBIA;MANGA;CORTA;2;LOG;3XL
20015416	BLUSA:COLUMBIA;MANGA;LARGA;2;LOG;3XL
20015417	BLUSA:COLUMBIA;MANGA;CORTA;1;LOG;3XL
20015418	BLUSA:COLUMBIA;MANGA;LARGA;1;LOG;3XL
20015435	BOTA:RACING;39
20015447	ZAPATOS:C/CUBO;CAFE
20015450	PECHERA;MOTO;2BOR;NEGRO
20015488	POLO:BIBO;DRY;DAMA;CHARCOL;1LOG;G
20015506	POLO:DRY;CABALLERO;CHARCOL;1LOG;G
20015507	PLAYERSYTEES:CABALLERO;900;1LOG;XXG
20015508	BOLSA:ORGANIZADOR;2M
20015509	MOCHILA:DELL;15;PULGADAS;DELL
20015510	POLO:DRY;CABALLERO;CHARCOL;1LOG;XXG
20015511	PLAYERA:POLOS;900;DAMA;1LOG:G
20015513	PLAYERSYTEES:CABALLERO;900;1LOG;G
20015520	MOCHILA:DELL;17;PULGADAS;DELL
20015530	PANTALON:LONA;AZUL;LCMI;T32
20015613	CHALECO;NARANJA;REFLECTIVO;UNITALLA
20015645	BOTIQUIN:EMPOTRABLE;SEFESO;25X30X8;CM
20015676	CAMISA:YAZBEK;BLANCA;MANGA;LARGA;M
20015677	PLAYERA:POLO;DRY;M
20015678	PANTALON:GABARDINA;KAKI;34
20015687	CAMISA:POLO;NEGRA;L
20015709	CAMISA:POLO;NEGRA;2XL
20015730	CAMISA:POLO;NEGRA;3XL
20015779	CAMISA:TIPO;DEPORTIVA;8
20015780	CAMISA:TIPO;DEPORTIVA;10
20015781	CAMISA:TIPO;DEPORTIVA;12
20015782	CAMISA:TIPO;DEPORTIVA;16
20015783	CAMISA:TIPO;DEPORTIVA;S
20015784	CAMISA:TIPO;DEPORTIVA;M
20015785	CAMISA:TIPO;DEPORTIVA;L
20015819	CAMISA:COLUMBIA;DAMA;BLANCA;MC;L;CMI
20016001	CAMISA:COLUMBIA;DAMA;BLANCA;MANG;CORTA;M
20016002	CAMISA:COLUMBIA;DAMA;MC;S;CMI
20016065	PANTALON:IMPERMEABLE;NEGRO;CAD;M
20016066	PANTALON:IMPERMEABLE;NEGRO;CAD;S
20016067	PANTALON:IMPERMEABLE;NEGRO;CAD;L
20016068	BOTAS:HULE;CAD;37
20016069	BOTAS:HULE;CAD;38.
20016080	BOTAS:HULE;CAD;39.
20016081	BOTAS:HULE;CAD;40.
20016082	BOTAS:HULE;CAD;41.
20016083	BOTAS:HULE;CAD;42.
20016084	BOTAS:HULE;CAD;43.
20016085	CHUMPA:IMPERMEABLE;NEGRO;CAD;M
20016086	CHUMPA:IMPERMEABLE;NEGRO;CAD;S
20016087	CHUMPA:IMPERMEABLE;NEGRO;CAD;L
20016088	LOGO:BORDADO;COLOR;CAMISA
20016115	PUNTERAS:ACERO;ESTANDAR
20016131	CAMISA:OXFORD;NEGRA;M/LARGA;2LOGO;M
20016172	CHAQUETA:IRON;TUFF;SEAL;0360;M
20016173	CHAQUETA:IRON;TUFF;SEAL;0360;S
20016174	CHAQUETA:IRON;TUFF;SEAL;0360;L
20016181	CHAQUETA:IRON;TUFF;SEAL;0360;XL
20016187	GUANTES HULE (LIMPIEZA BAÑOS)
20016188	REDECILLAS DE MALLA
20016189	GUANTE DE LIMPIEZA MANO FUERTE
20016195	MANGA:ANTI;CORTE;N3;18";3728
20016215	BOTAS:MILITAR;TALLA;34
20016221	BOTAS:MILITAR;TALLA;37
20016222	BOTAS:MILITAR;TALLA;38
20016223	BOTAS:MILITAR;TALLA;39
20016224	BOTAS:MILITAR;TALLA;40
20016225	BOTAS:MILITAR;TALLA;41
20016226	BOTAS:MILITAR;TALLA;42
20016227	BOTAS:MILITAR;TALLA;43
20016237	CAJA:DIQUE;GOMA.
20016238	PERFORADOR:DIQUE;GOMA.
20016239	KIT:DYCAL.
20016256	GUANTE:NTRILO;VERDE;TALLA;M
20016257	TRAJE:PROTECCION;CONTRA;QUIMICOS;2300;L
20016258	CARETA:PROTECCION;ESMERILAR;PANTALLA
20016259	BOTELLA:SOLUCION;ISOTONICA;32;OZ
20016290	MASCARILLA:BLANCO;N95;CAJA;20UN
20016291	CUBETA:PLASTICA;5;GALONES;TAPADERA
20016292	LONA:VINYL;COLOR;NEGRO;2X2M
20016311	GABINETE:LAMINIA;EXTINTOR;76X39X20CM
20016324	BLUSA:COLUMBIA;AZUL;CORTA;1LOGO;M
20016325	BLUSA:COLUMBIA;NEGRA;CORTA;1LOGO;M
20016326	BLUSA:COLUMBIA;GRIS;LARGA;1LOGO;M
20016327	BLUSA:COLUMBIA;GRIS;LARGA;1LOGO;S
20016328	BLUSA:COLUMBIA;NEGRA;LARGA;1LOGO;S
20016329	BLUSA:COLUMBIA;NEGRA;LARGA;1LOGO;M
20016330	BLUSA:COLUMBIA;NEGRA;LARGA;1LOGO;L
20016331	BLUSA:COLUMBIA;BEIGE;LARGA;1LOGO;S
20016332	CAMISA:COLUMBIA;GRIS;LARGA;1LOGO;L
20016333	CAMISA:COLUMBIA;NEGRA;LARGA;1LOGO;L
20016334	BLUSA:NEGRA;CORTA;MANGA;1LOGO;S
20016402	BOLSA:TELA;PROTECTORA;BOTARGA;1X1M
21000710	COLADOR #1
21000711	CONOS SANY DE PAPEL
21000712	CORRECTOR
21000713	CUADERNO
21000714	TIRRO
21000715	GRAPAS
21000716	PLUMONES VERDE
21000717	PLUMONES AZUL
21000718	PLUMONES ROJO
21000719	PLUMONES NEGRO
21000720	LAPICES
21000721	BOLIGRAFO ROJO
21000722	BOLIGRAFO NEGRO
21000723	BOLIGRAFO;LAPICERO AZUL
21000724	HIPOCLORITO DE CALCIO
21000725	HERMETICO 48 OZ / 1.5 L
21000726	CONTENEDOR PLÁSTICO 16x25x25
21000727	RECIPIENTE 1/4 BOTELLA
21000728	CUCHILLO DE SIERRA 12"
21000729	DISPENSADOR TRANSPARENTE PET
21000730	GABACHA BLANCA
21000731	GABACHA ROJA
21000732	REGLA DE METAL TP
21000733	TAZÓN DE ACERO INOXIDABLE 5 QT
21000734	BLOCK QUEDAN CAMPERO BOLETA DE PAGO
21000735	BLOCK BOLETA ENVIOS DE REPUESTOS
21000736	BLOCK VALE DESAYUNO EMPLEADO
21000737	CINTA PARA CERTIFICADORA ERC-38P
21000738	BLOCK VALE DE ALMUERZO EMPLEADO
21000739	BLOCK DE REQUISICIÓN SURESA
21000740	CINTA DE 3" CENTRO COLOR
21000741	CINTA PARA CERTIFICADO ERC-31
21000742	CINTA PARA CERTIFICADO ERC-27 CF MICROS
21000743	TONER HP CB435A
21000744	TONER SAM 1610 XEROX 3117
21000745	TONER EPSON EPL 6200L
21000746	TONER HP Q2612A
21000747	CINTA PAPEL QUIMICO 2 3/4CAD
21000748	CINTA SAREST
21000749	CINTA SCOTCH
21000750	FILTRO PARA ACEITE
21000751	BOLSA PARA BASURA 25x50 NEGRA
21000752	BOLSA PARA BASURA 17x27 NEGRA
21000753	BOBINA 40x5 GG
21000754	MECHERO BLANCO Y ROJO PARA TRAPEADOR
21000755	MECHERO BLANCO Y AZUL PARA TRAPEADOR
21000756	MECHERO BLANCO PARA TRAPEADOR
21000757	PAÑO ABSORVENTE ANARANJADO
21000758	PAÑO ABSORVENTE ROSADO
21000759	PAÑO ABSORVENTE VERDE
21000760	DETERGENTE INDUSTRIAL
21000761	ESPONJA NEGRA P-76 PARA METAL
21000762	ESPONJA BLANCA P-98 PARA VAJILLA
21000763	ESCOBA CERDA AMARILLA O VERDE
21000764	ESCOBA CERDA AZUL
21000765	ESCOBA CERDA ROJA
21000766	CUCHARA SOPERA T.P.
21000767	CUCHILLO DE SIERRA T.P.
21000768	CUCHILLO MANGO AMARILLO
21000769	BOLEADOR ENSALADA NO. 16 AZUL
21000770	BOLEADOR NO. 40 MORADO
21000771	VUELTEROS PLASTICOS CAMPERO
21000772	ESPATULA PARA HUEVO
21000773	CUCHARON 1 ONZA.
21000774	PINZA 9" MANGO AZUL
21000775	CEPILLO CANASTO
21000776	ESPONJA VERDE
21000777	TOALLA PARA TRAPEADOR
21000778	PLUMA / SECADOR #18
21000779	PAPEL HIGIENICO
21000780	PAPEL JUMBO ROL
21000781	PAPEL MAYORDOMO.
21000782	BOLSA IMPRESA BLANCA
21000783	VOLANTE INFORMATIVO FIESTAS INFANTILES
21000784	GUANTES DE HULE (NEOPRENO)
21000785	MASCARILLAS VENTA CLIENTES
21000786	FILTRO PAPEL CAFETERA
21000787	CUCHILLO PARA CORTAR FILETE DE ENSALADA
21000788	CINTA PAPEL QUÍMICO 3" MICROS/SAREST
21000789	BOLSA IMPRESA VERDE
21000790	BOLSA IMPRESA AMARILLA
21000791	ENCUESTA SERVICIO AL CLIENTE
21000792	BOLSA IMPRESA CELESTE
21000793	PINZA PLANA
21000794	ESPATULA DE METAL PANQUEQUE
21000795	ESPATULA PLASTICA 10"
21000796	BOLEADOR PARA PURE GRIS
21000797	TAZON PLASTICO PARA CHAMPIÑONES
21000798	PASTILLAS PARA URINALES
21000799	ESPONJA AZUL
21000800	ATOMIZADOR 16 OZ
21000801	MARCHAMO DISTRIBUCION
21000802	ESPATULA TELEPIZZA
21000803	BOLSA TERMICA TELEPIZA
21000804	DISPENSADOR DE ADEREZO
21000805	PINZA ACRILICA DE 9"
21000806	REDECILLAS
21000807	ESPATULA PARA PASTEL
21000808	CORTADOR DE PIZZA
21000809	PALA PARA BASURA CON RODOS
21000810	PALO TRAPEADOR PARA MECHERO
21000811	CUBETA PLASTICA PARA HIELO
21000812	BLOCK CONTROL RELOJ FRITURA
21000813	PINZA PARA POLLO
21000814	MANGA DESECHABLE PARA QUESO CREMA
21000815	PAPEL TOALLA
21000816	SCRAPER 3"x4" RASPADOR/DWL
21000817	COLADOR DOBLE  8"
21000818	EXPRIMIDOR DE ALUMINIO
21000819	QUITA CENTRO DE TOMATE
21000820	ABRELATA MANUAL
21000821	DISCO PARA HORNEAR PIZZA 9"
21000822	CERTIFICADO DE REGALO
21000823	PINZA SUJETA MOLDE PIZZA
21000824	MEDIDOR PARA QUESO
21000825	TIJERAS CLAUSS 9" #18080.
21000826	ESPATULA PAN PIZZA
21000827	DISPENSADOR MEZCLA ACEITE 1 GALON
21000828	MARCADOR SHARPIE
21000829	RECIPIENTE PARA CAMARONES.
21000830	DISPENSADOR DE SAL ACCUSALT
21000831	BOLSA NEGRA PARA BASURA
21000832	PAÑO ABSORVENTE CELESTE
21000833	PAÑO ABSORVENTE AMARILLO.
21000834	ESCOBA CEPILLO PARA PISO
21000835	GUANTES TRANSPARENTES DE POLIETILENO
21000836	BOLSA 24x32 NEGRA P/CARRO RESTAURANTE
21000837	CINTA;TAPE 2";SCOTCH
21000838	CINTA PARA PALETIZAR
21000839	CUCHILLA EXACTO
21000840	ESPATULA/RASPA TELEPIZZA
21000841	BOLEADOR 3 3/4 OZ
21000842	CINTA TERMICA 3"
21000843	TOMA PEDIDOS
21000844	PINZAS AMARILLAS
21000845	HERMETICO 1.8 TAZAS
21000846	CUCHARA ACERO INOXIDABLE 18"
21000847	CINTA TAPE PARA CAD 1/2IM
21000848	TAPADERA PARA MICROONDAS
21000849	PLATO PLASTICO PARA MICROONDAS
21000850	BANDEJA  ACERO INOXIDABLE
21000851	BOLEADOR DE 2OZ
21000852	BOLEADOR DE 1 OZ
21000853	BOLEADOR ROJO 1 ¾ OZ.
21000854	BOLEADOR NEGRO
21000855	BANDEJA/TAPA DE ACERO INOXIDABLE
21000856	BANDEJA PLÁSTICA 14x18"
21000857	CUCHARÓN 3OZ ACERO INOXIDABLE
21000858	DISCO PARA HORNEAR PIZZA 12"
21000859	DISCO PARA HORNEAR PIZZA 14"
21000860	TENAZA MANGO NEGRO TP
21000861	TENAZA MANGO ROJO TP
21000862	MANGAS PARA PANADERIA # 18
21000863	CONSUMIDOR FINAL GRANJERO
21000864	CRÉDITO FISCAL GRANJERO
21000865	CONSUMIDOR FINAL DON POLLO
21000866	CREDITO FISCAL DON POLLO
21000867	CRÉDITO FISCAL CAMPERO
21000868	FACTURA PARA CONSUMIDOR FINAL CAMPERO
21000869	NOTA DE REMISION SURESA
21000870	COMPROBANTE CREDITO FISCAL SURESA
21000871	GUANTES ACERO INOXIDABLE
21000872	ENVASE 5GLN CON TAPA
21000873	ENVASE 20GLN CON TAPA
21000874	BANDEJA ALUMINIO 18X26 PARA PANECILLO
21000875	GUANTE:NITRILO;VERSATOUCH;37-200
21000876	TABLA ACRILICA BLANCA
21000877	SQUEEZE 24 OZ
21000878	CUCHARON 1/2 OZ
21000879	FUNDA PARA PIZZA 4X4
21000880	BANDEJA DE ALUMINIO PARA FLAN
21000881	BANDEJA PARA PAN HAMBURGUESA
21000882	MOLDES PARA KEYKITOS
21000883	MOLDES PARA MUFFIN
21000884	LATA ALUMINIO ANGULO 90
21000885	CHAROLA BAGUETERA
21000886	CHAROLA PERFORADA
21000887	CINTA TERMICA 3 1/8"
21000888	TOCINERA DE ACERO INOXIDABLE
21000889	AROS P/OMELET   (127)
21000892	ACRIL. P/CONT. ASEO BAÑOS
21000893	BATIDOR T/PIANO M/HERGON
21000894	CINTA ANTIDESLIZANTE 2x60
21000895	COLADOR 16
21000896	CORTINAS PLATICAS
21000897	CRUZ P/MESA DE ARMADO
21000898	CUCHILLO SIERRA
21000899	DEFENSA PARA MOTO
21000900	DEPOSITO PARA SOBRES AZUCAR/SAL EN MESAS
21000902	FUNDAS P/CUBRIR CILINDROS
21000903	GAVETA PARA BOLEADORES
21000904	GUANTES THERMAPRENE
21000905	HEAVY SELF STACKING 09x2.2
21000906	HEAVY SELF STACKING 12x2.2
21000907	HEAVY SELF STACKING 14x2.2
21000908	HEAVY STAND TRAY 12" MOLDE
21000909	HEAVY STAND TRAY 14" MOLDE
21000910	HEAVY STAND TRAY 9" MOLDE
21000911	JUEGO TOLVAS ACERO INOX
21000912	L-1103 CUCHARON DE 3 OZ
21000913	L-1105 CUCHARON DE 5 ONZA
21000915	MANGUERA Z
21000916	MAYAS CALADAS P/RAKET
21000917	ORGANIZ. P/CARRITO SALON
21000920	PINZA 10 REFOR
21000921	PRICE CASTLE (ARO P/HUEVOS)
21000922	PRINCE CASTLE COVER 122-1
21000923	PRINCE CASTLE RING (MLDES H)
21000924	PUSH HEAD 1/4
21000925	RACK HORIZONTAL P/MOLDES
21000926	REPARADOR 50026
21000927	RUEDAS PARA COCHE
21000928	SALERO DE ACERO INOXIDABL
21000929	SELLADORA MANUAL ELECTRI
21000930	SEÑAL PISO MOJADO
21000931	SEPARADORES P/MESA ING
21000932	STAND PARA PIZZA
21000933	STICKER"AYUDAN AHORRAR"
21000934	STICKERS PARA BAULES
21000935	TABLA ACRIL. P/ CORTAR VEG
21000936	TABLA ACRILICA P/BOUCHER
21000937	TABLA DE DIVISION DE BAUL
21000938	TABLA ACRILICA
21000939	TAPADERA P/SIX PACK ACERO
21000940	TAZA AC. INOX. 3 MEDIDAS
21000941	TAZA INOX P/MEDIR QUESO
21000942	THERMOMETERS 12106
21000943	TIJERA DE ACERO INOXIDABL
21000944	TIMER BASKET LIFT 50221
21000945	TP-9 MOLDE ALUMINIO 9" LI
21000946	L-1107 CUCHARON DE 7 ONZA
21000947	ORGANIZ. ESCOBAS Y TRAP
21000948	BANDEJA 1/2 x 4"
21000949	BANDEJA 1/3 x 2 1/2
21000950	BANDEJA ACERO INOX 1/9x4
21000951	BANDEJA DE ACERO DE 6"
21000952	BANDEJA FULL x 4 C/TAPA
21000953	BANDEJA LISA
21000954	BANDEJA PERFORADA
21000955	BANDEJAS AC. INOX. 18"x26
21000956	BASKET WITH LEGS 19501
21000959	CANASTA 43804 HORNO ROST
21000960	CANASTA DE AC. INOX. SELLADA
21000961	CANASTA DOBLE
21000962	CANASTA NIVELAR PEQUEÑA
21000963	CANASTA P/FREIR PAPAS
21000964	CEPILLO DE PLASTICO
21000965	CEPILLO PARA UQAS
21000966	CESTA ORGANIZADORA GDE
21000967	CUCHARA SOLIDA 15
21000968	CUCHARON 12 ONZAS
21000969	CUCHARON DE 2 ONZ. M-3102
21000970	CUCHARON DE 2 ONZAS
21000971	CUCHARON PLANO DE 4 ONZAS
21000972	CUCHARON DE 5 ONZAS
21000973	CUCHARON DE 6 ONZAS
21000974	CUCHARON PARA HIELO
21000975	CUCHARON REDONDO 8 OZ
21000976	CUCHARONES P/EMPANIZADO
21000977	DEPOSITO DE AC. INOX. 1/6
21000978	DEPOSITO P/ACEITE C/RODOS
21000979	DISPENS BLISTER VAR 3/16"
21000980	DISPENSADOR ACRILICO OSC
